***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
L6711	"Terminal device, hook, mechanical, voluntary opening, any material, any size, lined or unlined, pediatric"	"Ped term dev, hook, vol open"
L6712	"Terminal device, hook, mechanical, voluntary closing, any material, any size, lined or unlined, pediatric"	"Ped term dev, hook, vol clos"
L6713	"Terminal device, hand, mechanical, voluntary opening, any material, any size, pediatric"	"Ped term dev, hand, vol open"
L6714	"Terminal device, hand, mechanical, voluntary closing, any material, any size, pediatric"	"Ped term dev, hand, vol clos"
L6715	"Terminal device, multiple articulating digit, includes motor(s), initial issue or replacement"	"Term device, multi art digit"
L6721	"Terminal device, hook or hand, heavy duty, mechanical, voluntary opening, any material, any size, lined or unlined"	"Hook/hand, hvy dty, vol open"
L6722	"Terminal device, hook or hand, heavy duty, mechanical, voluntary closing, any material, any size, lined or unlined"	"Hook/hand, hvy dty, vol clos"
L6805	"Addition to terminal device, modifier wrist unit"	Term dev modifier wrist unit
L6810	"Addition to terminal device, precision pinch device"	Term dev precision pinch dev
L6880	"Electric hand, switch or myoelectric controlled, independently articulating digits, any grasp pattern or combination of grasp patterns, includes motor(s)"	Elec hand ind art digits
L6881	"Automatic grasp feature, addition to upper limb electric prosthetic terminal device"	Term dev auto grasp feature
L6882	"Microprocessor control feature, addition to upper limb prosthetic terminal device"	Microprocessor control uplmb
L6883	"Replacement socket, below elbow/wrist disarticulation, molded to patient model, for use with or without external power"	Replc sockt below e/w disa
L6884	"Replacement socket, above elbow/elbow disarticulation, molded to patient model, for use with or without external power"	Replc sockt above elbow disa
L6885	"Replacement socket, shoulder disarticulation/interscapular thoracic, molded to patient model, for use with or without external power"	Replc sockt shldr dis/interc
L6890	"Addition to upper extremity prosthesis, glove for terminal device, any material, prefabricated, includes fitting and adjustment"	Prefab glove for term device
L6895	"Addition to upper extremity prosthesis, glove for terminal device, any material, custom fabricated"	Custom glove for term device
L6900	"Hand restoration (casts, shading and measurements included), partial hand, with glove, thumb or one finger remaining"	Hand restorat thumb/1 finger
L6905	"Hand restoration (casts, shading and measurements included), partial hand, with glove, multiple fingers remaining"	Hand restoration multiple fi
L6910	"Hand restoration (casts, shading and measurements included), partial hand, with glove, no fingers remaining"	Hand restoration no fingers
L6915	"Hand restoration (shading, and measurements included), replacement glove for above"	Hand restoration replacmnt g
L6920	"Wrist disarticulation, external power, self-suspended inner socket, removable forearm shell, otto bock or equal, switch, cables, two batteries and one charger, switch control of terminal device"	Wrist disarticul switch ctrl
L6925	"Wrist disarticulation, external power, self-suspended inner socket, removable forearm shell, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Wrist disart myoelectronic c
L6930	"Below elbow, external power, self-suspended inner socket, removable forearm shell, otto bock or equal switch, cables, two batteries and one charger, switch control of terminal device"	Below elbow switch control
L6935	"Below elbow, external power, self-suspended inner socket, removable forearm shell, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Below elbow myoelectronic ct
L6940	"Elbow disarticulation, external power, molded inner socket, removable humeral shell, outside locking hinges, forearm, otto bock or equal switch, cables, two batteries and one charger, switch control of terminal device"	Elbow disarticulation switch
L6945	"Elbow disarticulation, external power, molded inner socket, removable humeral shell, outside locking hinges, forearm, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Elbow disart myoelectronic c
L6950	"Above elbow, external power, molded inner socket, removable humeral shell, internal locking elbow, forearm, otto bock or equal switch, cables, two batteries and one charger, switch control of terminal device"	Above elbow switch control
L6955	"Above elbow, external power, molded inner socket, removable humeral shell, internal locking elbow, forearm, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Above elbow myoelectronic ct
L6960	"Shoulder disarticulation, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, otto bock or equal switch, cables, two batteries and one charger, switch control of terminal device"	Shldr disartic switch contro
L6965	"Shoulder disarticulation, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Shldr disartic myoelectronic
L6970	"Interscapular-thoracic, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, otto bock or equal switch, cables, two batteries and one charger, switch control of terminal device"	Interscapular-thor switch ct
L6975	"Interscapular-thoracic, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"	Interscap-thor myoelectronic
L7007	"Electric hand, switch or myoelectric controlled, adult"	Adult electric hand
L7008	"Electric hand, switch or myoelectric, controlled, pediatric"	Pediatric electric hand
L7009	"Electric hook, switch or myoelectric controlled, adult"	Adult electric hook
L7040	"Prehensile actuator, switch controlled"	Prehensile actuator
L7045	"Electric hook, switch or myoelectric controlled, pediatric"	Pediatric electric hook
L7170	"Electronic elbow, hosmer or equal, switch controlled"	Electronic elbow hosmer swit
L7180	"Electronic elbow, microprocessor sequential control of elbow and terminal device"	Electronic elbow sequential
L7181	"Electronic elbow, microprocessor simultaneous control of elbow and terminal device"	Electronic elbo simultaneous
L7185	"Electronic elbow, adolescent, variety village or equal, switch controlled"	Electron elbow adolescent sw
L7186	"Electronic elbow, child, variety village or equal, switch controlled"	Electron elbow child switch
L7190	"Electronic elbow, adolescent, variety village or equal, myoelectronically controlled"	Elbow adolescent myoelectron
L7191	"Electronic elbow, child, variety village or equal, myoelectronically controlled"	Elbow child myoelectronic ct
L7259	"Electronic wrist rotator, any type"	Electronic wrist rotator any
L7260	"Electronic wrist rotator, otto bock or equal"	Electron wrist rotator otto
L7261	"Electronic wrist rotator, for utah arm"	Electron wrist rotator utah
L7360	"Six volt battery, each"	Six volt bat otto bock/eq ea
L7362	"Battery charger, six volt, each"	Battery chrgr six volt otto
L7364	"Twelve volt battery, each"	Twelve volt battery utah/equ
L7366	"Battery charger, twelve volt, each"	Battery chrgr 12 volt utah/e
L7367	"Lithium ion battery, rechargeable, replacement"	Replacemnt lithium ionbatter
L7368	"Lithium ion battery charger, replacement only"	Lithium ion battery charger
L7400	"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, ultralight material (titanium, carbon fiber or equal)"	"Add ue prost be/wd, ultlite"
L7401	"Addition to upper extremity prosthesis, above elbow disarticulation, ultralight material (titanium, carbon fiber or equal)"	Add ue prost a/e ultlite mat
L7402	"Addition to upper extremity prosthesis, shoulder disarticulation/interscapular thoracic, ultralight material (titanium, carbon fiber or equal)"	Add ue prost s/d ultlite mat
L7403	"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, acrylic material"	Add ue prost b/e acrylic
L7404	"Addition to upper extremity prosthesis, above elbow disarticulation, acrylic material"	Add ue prost a/e acrylic
L7405	"Addition to upper extremity prosthesis, shoulder disarticulation/interscapular thoracic, acrylic material"	Add ue prost s/d acrylic
L7499	"Upper extremity prosthesis, not otherwise specified"	Upper extremity prosthes nos
L7510	"Repair of prosthetic device, repair or replace minor parts"	Prosthetic device repair rep
L7520	"Repair prosthetic device, labor component, per 15 minutes"	Repair prosthesis per 15 min
L7600	"Prosthetic donning sleeve, any material, each"	Prosthetic donning sleeve
L7700	"Gasket or seal, for use with prosthetic socket insert, any type, each"	Pros soc insert gasket/seal
L7900	Male vacuum erection system	Male vacuum erection system
L7902	"Tension ring, for vacuum erection device, any type, replacement only, each"	"Tension ring, vac erect dev"
L8000	"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"	Mastectomy bra
L8001	"Breast prosthesis, mastectomy bra, with integrated breast prosthesis form, unilateral, any size, any type"	Breast prosthesis bra & form
L8002	"Breast prosthesis, mastectomy bra, with integrated breast prosthesis form, bilateral, any size, any type"	Brst prsth bra & bilat form
L8010	"Breast prosthesis, mastectomy sleeve"	Mastectomy sleeve
L8015	"External breast prosthesis garment, with mastectomy form, post mastectomy"	Ext breastprosthesis garment
L8020	"Breast prosthesis, mastectomy form"	Mastectomy form
L8030	"Breast prosthesis, silicone or equal, without integral adhesive"	Breast prosthes w/o adhesive
L8031	"Breast prosthesis, silicone or equal, with integral adhesive"	Breast prosthesis w adhesive
L8032	"Nipple prosthesis, reusable, any type, each"	Reusable nipple prosthesis
L8035	"Custom breast prosthesis, post mastectomy, molded to patient model"	Custom breast prosthesis
L8039	"Breast prosthesis, not otherwise specified"	Breast prosthesis nos
L8040	"Nasal prosthesis, provided by a non-physician"	Nasal prosthesis
L8041	"Midfacial prosthesis, provided by a non-physician"	Midfacial prosthesis
L8042	"Orbital prosthesis, provided by a non-physician"	Orbital prosthesis
L8043	"Upper facial prosthesis, provided by a non-physician"	Upper facial prosthesis
L8044	"Hemi-facial prosthesis, provided by a non-physician"	Hemi-facial prosthesis
L8045	"Auricular prosthesis, provided by a non-physician"	Auricular prosthesis
L8046	"Partial facial prosthesis, provided by a non-physician"	Partial facial prosthesis
L8047	"Nasal septal prosthesis, provided by a non-physician"	Nasal septal prosthesis
L8048	"Unspecified maxillofacial prosthesis, by report, provided by a non-physician"	Unspec maxillofacial prosth
L8049	"Repair or modification of maxillofacial prosthesis, labor component, 15 minute increments, provided by a non-physician"	Repair maxillofacial prosth
L8300	"Truss, single with standard pad"	Truss single w/ standard pad
L8310	"Truss, double with standard pads"	Truss double w/ standard pad
L8320	"Truss, addition to standard pad, water pad"	Truss addition to std pad wa
L8330	"Truss, addition to standard pad, scrotal pad"	Truss add to std pad scrotal
L8400	"Prosthetic sheath, below knee, each"	Sheath below knee
L8410	"Prosthetic sheath, above knee, each"	Sheath above knee
L8415	"Prosthetic sheath, upper limb, each"	Sheath upper limb
L8417	"Prosthetic sheath/sock, including a gel cushion layer, below knee or above knee, each"	Pros sheath/sock w gel cushn
L8420	"Prosthetic sock, multiple ply, below knee, each"	Prosthetic sock multi ply bk
L8430	"Prosthetic sock, multiple ply, above knee, each"	Prosthetic sock multi ply ak
L8435	"Prosthetic sock, multiple ply, upper limb, each"	Pros sock multi ply upper lm
L8440	"Prosthetic shrinker, below knee, each"	Shrinker below knee
L8460	"Prosthetic shrinker, above knee, each"	Shrinker above knee
L8465	"Prosthetic shrinker, upper limb, each"	Shrinker upper limb
L8470	"Prosthetic sock, single ply, fitting, below knee, each"	Pros sock single ply bk
L8480	"Prosthetic sock, single ply, fitting, above knee, each"	Pros sock single ply ak
L8485	"Prosthetic sock, single ply, fitting, upper limb, each"	Pros sock single ply upper l
L8499	Unlisted procedure for miscellaneous prosthetic services	Unlisted misc prosthetic ser
L8500	"Artificial larynx, any type"	Artificial larynx
L8501	Tracheostomy speaking valve	Tracheostomy speaking valve
L8505	"Artificial larynx replacement battery / accessory, any type"	"Artificial larynx, accessory"
L8507	"Tracheo-esophageal voice prosthesis, patient inserted, any type, each"	Trach-esoph voice pros pt in
L8509	"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type"	Trach-esoph voice pros md in
L8510	Voice amplifier	Voice amplifier
L8511	"Insert for indwelling tracheoesophageal prosthesis, with or without valve, replacement only, each"	Indwelling trach insert
L8512	"Gelatin capsules or equivalent, for use with tracheoesophageal voice prosthesis, replacement only, per 10"	Gel cap for trach voice pros
L8513	"Cleaning device used with tracheoesophageal voice prosthesis, pipet, brush, or equal, replacement only, each"	Trach pros cleaning device
L8514	"Tracheoesophageal puncture dilator, replacement only, each"	Repl trach puncture dilator
L8515	"Gelatin capsule, application device for use with tracheoesophageal voice prosthesis, each"	Gel cap app device for trach
L8600	"Implantable breast prosthesis, silicone or equal"	Implant breast silicone/eq
L8603	"Injectable bulking agent, collagen implant, urinary tract, 2.5 ml syringe, includes shipping and necessary supplies"	Collagen imp urinary 2.5 ml
L8604	"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, urinary tract, 1 ml, includes shipping and necessary supplies"	Dextranomer/hyaluronic acid
L8605	"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, anal canal, 1 ml, includes shipping and necessary supplies"	Inj bulking agent anal canal
L8606	"Injectable bulking agent, synthetic implant, urinary tract, 1 ml syringe, includes shipping and necessary supplies"	Synthetic implnt urinary 1ml
L8607	"Injectable bulking agent for vocal cord medialization, 0.1 ml, includes shipping and necessary supplies"	Inj vocal cord bulking agent
L8609	Artificial cornea	Artificial cornea
L8610	Ocular implant	Ocular implant
L8612	Aqueous shunt	Aqueous shunt prosthesis
L8613	Ossicula implant	Ossicular implant
L8614	"Cochlear device, includes all internal and external components"	Cochlear device
L8615	"Headset/headpiece for use with cochlear implant device, replacement"	Coch implant headset replace
L8616	"Microphone for use with cochlear implant device, replacement"	Coch implant microphone repl
L8617	"Transmitting coil for use with cochlear implant device, replacement"	Coch implant trans coil repl
L8618	"Transmitter cable for use with cochlear implant device or auditory osseointegrated device, replacement"	Coch implant tran cable repl
L8619	"Cochlear implant, external speech processor and controller, integrated system, replacement"	Coch imp ext proc/contr rplc
L8621	"Zinc air battery for use with cochlear implant device and auditory osseointegrated sound processors, replacement, each"	Repl zinc air battery
L8622	"Alkaline battery for use with cochlear implant device, any size, replacement, each"	Repl alkaline battery
L8623	"Lithium ion battery for use with cochlear implant device speech processor, other than ear level, replacement, each"	"Lith ion batt cid,non-earlvl"
L8624	"Lithium ion battery for use with cochlear implant or auditory osseointegrated device speech processor, ear level, replacement, each"	"Lith ion batt cid, ear level"
L8625	"External recharging system for battery for use with cochlear implant or auditory osseointegrated device, replacement only, each"	Charger coch impl/aoi battry
L8627	"Cochlear implant, external speech processor, component, replacement"	Cid ext speech process repl
L8628	"Cochlear implant, external controller component, replacement"	Cid ext controller repl
L8629	"Transmitting coil and cable, integrated, for use with cochlear implant device, replacement"	Cid transmit coil and cable
L8630	Metacarpophalangeal joint implant	Metacarpophalangeal implant
L8631	"Metacarpal phalangeal joint replacement, two or more pieces, metal (e.g., stainless steel or cobalt chrome), ceramic-like material (e.g., pyrocarbon), for surgical implantation (all sizes, includes entire system)"	Mcp joint repl 2 pc or more
L8641	Metatarsal joint implant	Metatarsal joint implant
L8642	Hallux implant	Hallux implant
L8658	"Interphalangeal joint spacer, silicone or equal, each"	Interphalangeal joint spacer
L8659	"Interphalangeal finger joint replacement, 2 or more pieces, metal (e.g., stainless steel or cobalt chrome), ceramic-like material (e.g., pyrocarbon) for surgical implantation, any size"	Interphalangeal joint repl
L8670	"Vascular graft material, synthetic, implant"	"Vascular graft, synthetic"
L8679	"Implantable neurostimulator, pulse generator, any type"	Imp neurosti pls gn any type
L8680	"Implantable neurostimulator electrode, each"	Implt neurostim elctr each
L8681	"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only"	Pt prgrm for implt neurostim
L8682	Implantable neurostimulator radiofrequency receiver	Implt neurostim radiofq rec
L8683	Radiofrequency transmitter (external) for use with implantable neurostimulator radiofrequency receiver	Radiofq trsmtr for implt neu
L8684	"Radiofrequency transmitter (external) for use with implantable sacral root neurostimulator receiver for bowel and bladder management, replacement"	Radiof trsmtr implt scrl neu
L8685	"Implantable neurostimulator pulse generator, single array, rechargeable, includes extension"	Implt nrostm pls gen sng rec
L8686	"Implantable neurostimulator pulse generator, single array, non-rechargeable, includes extension"	Implt nrostm pls gen sng non
L8687	"Implantable neurostimulator pulse generator, dual array, rechargeable, includes extension"	Implt nrostm pls gen dua rec
L8688	"Implantable neurostimulator pulse generator, dual array, non-rechargeable, includes extension"	Implt nrostm pls gen dua non
L8689	"External recharging system for battery (internal) for use with implantable neurostimulator, replacement only"	External recharg sys intern
L8690	"Auditory osseointegrated device, includes all internal and external components"	"Aud osseo dev, int/ext comp"
L8691	"Auditory osseointegrated device, external sound processor, excludes transducer/actuator, replacement only, each"	Aoi snd proc repl excl actua
L8692	"Auditory osseointegrated device, external sound processor, used without osseointegration, body worn, includes headband or other means of external attachment"	Non-osseointegrated snd proc
L8693	"Auditory osseointegrated device abutment, any length, replacement only"	"Aud osseo dev, abutment"
L8694	"Auditory osseointegrated device, transducer/actuator, replacement only, each"	Aoi transducer/actuator repl
L8695	"External recharging system for battery (external) for use with implantable neurostimulator, replacement only"	External recharg sys extern
L8696	"Antenna (external) for use with implantable diaphragmatic/phrenic nerve stimulation device, replacement, each"	Ext antenna phren nerve stim
L8699	"Prosthetic implant, not otherwise specified"	Prosthetic implant nos
L9900	"Orthotic and prosthetic supply, accessory, and/or service component of another hcpcs ""l"" code"	O&p supply/accessory/service
M0064	Brief office visit for the sole purpose of monitoring or changing drug prescriptions used in the treatment of mental psychoneurotic and personality disorders	Visit for drug monitoring
M0075	Cellular therapy	Cellular therapy
M0076	Prolotherapy	Prolotherapy
M0100	Intragastric hypothermia using gastric freezing	Intragastric hypothermia
M0300	Iv chelation therapy (chemical endarterectomy)	Iv chelationtherapy
M0301	Fabric wrapping of abdominal aneurysm	Fabric wrapping of aneurysm
P2028	"Cephalin floculation, blood"	Cephalin floculation test
P2029	"Congo red, blood"	Congo red blood test
P2031	Hair analysis (excluding arsenic)	Hair analysis
P2033	"Thymol turbidity, blood"	Blood thymol turbidity
P2038	"Mucoprotein, blood (seromucoid) (medical necessity procedure)"	Blood mucoprotein
P3000	"Screening papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision"	Screen pap by tech w md supv
P3001	"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician"	Screening pap smear by phys
P7001	"Culture, bacterial, urine; quantitative, sensitivity study"	Culture bacterial urine
P9010	"Blood (whole), for transfusion, per unit"	Whole blood for transfusion
P9011	"Blood, split unit"	Blood split unit
P9012	"Cryoprecipitate, each unit"	Cryoprecipitate each unit
P9016	"Red blood cells, leukocytes reduced, each unit"	Rbc leukocytes reduced
P9017	"Fresh frozen plasma (single donor), frozen within 8 hours of collection, each unit"	Plasma 1 donor frz w/in 8 hr
P9019	"Platelets, each unit"	"Platelets, each unit"
P9020	"Platelet rich plasma, each unit"	Plaelet rich plasma unit
P9021	"Red blood cells, each unit"	Red blood cells unit
P9022	"Red blood cells, washed, each unit"	Washed red blood cells unit
P9023	"Plasma, pooled multiple donor, solvent/detergent treated, frozen, each unit"	"Frozen plasma, pooled, sd"
P9031	"Platelets, leukocytes reduced, each unit"	Platelets leukocytes reduced
P9032	"Platelets, irradiated, each unit"	"Platelets, irradiated"
P9033	"Platelets, leukocytes reduced, irradiated, each unit"	Platelets leukoreduced irrad
P9034	"Platelets, pheresis, each unit"	"Platelets, pheresis"
P9035	"Platelets, pheresis, leukocytes reduced, each unit"	Platelet pheres leukoreduced
P9036	"Platelets, pheresis, irradiated, each unit"	Platelet pheresis irradiated
P9037	"Platelets, pheresis, leukocytes reduced, irradiated, each unit"	Plate pheres leukoredu irrad
P9038	"Red blood cells, irradiated, each unit"	Rbc irradiated
P9039	"Red blood cells, deglycerolized, each unit"	Rbc deglycerolized
P9040	"Red blood cells, leukocytes reduced, irradiated, each unit"	Rbc leukoreduced irradiated
P9041	"Infusion, albumin (human), 5%, 50 ml"	"Albumin (human),5%, 50ml"
P9043	"Infusion, plasma protein fraction (human), 5%, 50 ml"	"Plasma protein fract,5%,50ml"
P9044	"Plasma, cryoprecipitate reduced, each unit"	Cryoprecipitatereducedplasma
P9045	"Infusion, albumin (human), 5%, 250 ml"	"Albumin (human), 5%, 250 ml"
P9046	"Infusion, albumin (human), 25%, 20 ml"	"Albumin (human), 25%, 20 ml"
P9047	"Infusion, albumin (human), 25%, 50 ml"	"Albumin (human), 25%, 50ml"
P9048	"Infusion, plasma protein fraction (human), 5%, 250 ml"	"Plasmaprotein fract,5%,250ml"
P9050	"Granulocytes, pheresis, each unit"	"Granulocytes, pheresis unit"
P9051	"Whole blood or red blood cells, leukocytes reduced, cmv-negative, each unit"	"Blood, l/r, cmv-neg"
P9052	"Platelets, hla-matched leukocytes reduced, apheresis/pheresis, each unit"	"Platelets, hla-m, l/r, unit"
P9053	"Platelets, pheresis, leukocytes reduced, cmv-negative, irradiated, each unit"	"Plt, pher, l/r cmv-neg, irr"
P9054	"Whole blood or red blood cells, leukocytes reduced, frozen, deglycerol, washed, each unit"	"Blood, l/r, froz/degly/wash"
P9055	"Platelets, leukocytes reduced, cmv-negative, apheresis/pheresis, each unit"	"Plt, aph/pher, l/r, cmv-neg"
P9056	"Whole blood, leukocytes reduced, irradiated, each unit"	"Blood, l/r, irradiated"
P9057	"Red blood cells, frozen/deglycerolized/washed, leukocytes reduced, irradiated, each unit"	"Rbc, frz/deg/wsh, l/r, irrad"
P9058	"Red blood cells, leukocytes reduced, cmv-negative, irradiated, each unit"	"Rbc, l/r, cmv-neg, irrad"
P9059	"Fresh frozen plasma between 8-24 hours of collection, each unit"	"Plasma, frz between 8-24hour"
P9060	"Fresh frozen plasma, donor retested, each unit"	Fr frz plasma donor retested
P9070	"Plasma, pooled multiple donor, pathogen reduced, frozen, each unit"	Pathogen reduced plasma pool
P9071	"Plasma (single donor), pathogen reduced, frozen, each unit"	Pathogen reduced plasma sing
P9072	"Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit"	Plate path red/rapid bac tes
P9073	"Platelets, pheresis, pathogen-reduced, each unit"	"Platelets, pathogen reduced"
P9100	Pathogen(s) test for platelets	Pathogen test for platelets
P9603	Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled	One-way allow prorated miles
P9604	Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge	One-way allow prorated trip
P9612	"Catheterization for collection of specimen, single patient, all places of service"	Catheterize for urine spec
P9615	Catheterization for collection of specimen(s) (multiple patients)	Urine specimen collect mult
Q0035	Cardiokymography	Cardiokymography
Q0081	"Infusion therapy, using other than chemotherapeutic drugs, per visit"	Infusion ther other than che
Q0083	"Chemotherapy administration by other than infusion technique only (e.g., subcutaneous, intramuscular, push), per visit"	Chemo by other than infusion
Q0084	"Chemotherapy administration by infusion technique only, per visit"	Chemotherapy by infusion
Q0085	"Chemotherapy administration by both infusion technique and other technique(s) (e.g., subcutaneous, intramuscular, push), per visit"	Chemo by both infusion and o
Q0091	"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory"	Obtaining screen pap smear
Q0092	Set-up portable x-ray equipment	Set up port xray equipment
Q0111	"Wet mounts, including preparations of vaginal, cervical or skin specimens"	Wet mounts/ w preparations
Q0112	All potassium hydroxide (koh) preparations	Potassium hydroxide preps
Q0113	Pinworm examinations	Pinworm examinations
Q0114	Fern test	Fern test
Q0115	"Post-coital direct, qualitative examinations of vaginal or cervical mucous"	Post-coital mucous exam
Q0138	"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)"	"Ferumoxytol, non-esrd"
Q0139	"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for esrd on dialysis)"	"Ferumoxytol, esrd use"
Q0144	"Azithromycin dihydrate, oral, capsules/powder, 1 gram"	"Azithromycin dihydrate, oral"
Q0161	"Chlorpromazine hydrochloride, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Chlorpromazine hcl 5mg oral
Q0162	"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Ondansetron oral
Q0163	"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen"	Diphenhydramine hcl 50mg
Q0164	"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Prochlorperazine maleate 5mg
Q0166	"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen"	Granisetron hcl 1 mg oral
Q0167	"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Dronabinol 2.5mg oral
Q0169	"Promethazine hydrochloride, 12.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Promethazine hcl 12.5mg oral
Q0173	"Trimethobenzamide hydrochloride, 250 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Trimethobenzamide hcl 250mg
Q0174	"Thiethylperazine maleate, 10 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Thiethylperazine maleate10mg
Q0175	"Perphenazine, 4 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Perphenazine 4mg oral
Q0177	"Hydroxyzine pamoate, 25 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Hydroxyzine pamoate 25mg
Q0180	"Dolasetron mesylate, 100 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen"	Dolasetron mesylate oral
Q0181	"Unspecified oral dosage form, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for a iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"	Unspecified oral anti-emetic
Q0477	"Power module patient cable for use with electric or electric/pneumatic ventricular assist device, replacement only"	Pwr module pt cable lvad rpl
Q0478	"Power adapter for use with electric or electric/pneumatic ventricular assist device, vehicle type"	"Power adapter, combo vad"
Q0479	"Power module for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Power module combo vad, rep"
Q0480	"Driver for use with pneumatic ventricular assist device, replacement only"	"Driver pneumatic vad, rep"
Q0481	"Microprocessor control unit for use with electric ventricular assist device, replacement only"	"Microprcsr cu elec vad, rep"
Q0482	"Microprocessor control unit for use with electric/pneumatic combination ventricular assist device, replacement only"	"Microprcsr cu combo vad, rep"
Q0483	"Monitor/display module for use with electric ventricular assist device, replacement only"	"Monitor elec vad, rep"
Q0484	"Monitor/display module for use with electric or electric/pneumatic ventricular assist device, replacement only"	Monitor elec or comb vad rep
Q0485	"Monitor control cable for use with electric ventricular assist device, replacement only"	"Monitor cable elec vad, rep"
Q0486	"Monitor control cable for use with electric/pneumatic ventricular assist device, replacement only"	Mon cable elec/pneum vad rep
Q0487	"Leads (pneumatic/electrical) for use with any type electric/pneumatic ventricular assist device, replacement only"	"Leads any type vad, rep only"
Q0488	"Power pack base for use with electric ventricular assist device, replacement only"	"Pwr pack base elec vad, rep"
Q0489	"Power pack base for use with electric/pneumatic ventricular assist device, replacement only"	"Pwr pck base combo vad, rep"
Q0490	"Emergency power source for use with electric ventricular assist device, replacement only"	"Emr pwr source elec vad, rep"
Q0491	"Emergency power source for use with electric/pneumatic ventricular assist device, replacement only"	Emr pwr source combo vad rep
Q0492	"Emergency power supply cable for use with electric ventricular assist device, replacement only"	"Emr pwr cbl elec vad, rep"
Q0493	"Emergency power supply cable for use with electric/pneumatic ventricular assist device, replacement only"	"Emr pwr cbl combo vad, rep"
