Common name	syn_list
COCONUT OIL	['COCONUT OIL (UNHYDROGENATED)', 'COCONUT OIL BASE', 'COCONUT OIL TRIGLYCERIDES', 'COCONUT OIL, UNHYDROGENATED', 'COCOS NUCIFERA (COCONUT) OIL', 'COCOS NUCIFERA SEED OIL', 'OIL, COCONUT', 'OIL,COCNT']
GRAPE SEED OIL	['COGNAC GREEN OIL', 'COGNAC OIL GREEN', 'COGNAC OIL WHITE', 'COGNAC OIL, -GREEN', 'COGNAC OIL, GREEN', 'COGNAC OIL, WHITE', 'COGNAC WHITE OIL', 'EUROPEAN GRAPE SEED OIL', 'GRAPE SEED VOLATILE OIL', 'GREEN COGNAC OIL', 'OIL, GRAPESEED', 'OIL,GRAPESEED', 'VITIS VINIFERA (GRAPE) SEED OIL', 'VITIS VINIFERA OIL', 'WINE GRAPE SEED OIL', 'WINE YEAST OIL']
APRICOT KERNEL OIL	['APRICOT KERNEL VOLATILE OIL', 'APRICOT OIL', 'APRICOT SEED OIL', 'ARMENIACA VULGARIS OIL', 'OIL, APRICOT KERNEL', 'OIL,APRICOT KERNEL', 'OILS, APRICOT', 'PRUNUS ARMENIACA (APRICOT) KERNEL OIL', 'PRUNUS ARMENIACA OIL', 'PRUNUS ARMENIACA SEED OIL']
SCHISANDRA CHINENSIS FRUIT	['BEI WU WEI ZI', 'CHINESE MAGNOLIAVINE FRUIT', 'FIVE-FLAVOR-FRUIT', 'FIVE-FLAVOURED SEED', 'FUZHENG HUAYU COMPONENT FRUCTUS SCHISANDRAE FRUIT', 'KADSURA CHINENSIS FRUIT', 'MAGNOLIA-VINE FRUIT', 'MAXIMOWICZIA AMURENSIS FRUIT', 'MAXIMOWICZIA CHINENSIS FRUIT', 'NORTHERN SCHISANDRA', 'NORTHERN SCHISANDRA FRUIT', 'SCHISANDRA CHINENSIS DRY FRUIT', 'SCHISANDRA CHINENSIS FRUIT EXTRACT', 'SCHISANDRA FRUIT', 'SCHISANDRAE CHINENSIS FRUCTUS', 'SCHIZANDRA', 'SCHIZANDRA CHINENSIS FRUIT', 'SCHIZANDRA CHINENSIS FRUIT EXTRACT', 'SCHIZANDRA CHINENSIS FRUIT POWDER', 'SCHIZANDRA FRUIT', 'SCHIZANDRA PREPARATION', 'WU WEI ZI', 'WU WEI ZI FRUIT EXTRACT', 'WUWEIZI']
AMBER	['AMBER EXTRACT', 'AMBER POWDER', 'RESINITE', 'SUCCINUM']
PURSLANE	"[""HORSE'S TEETH AMARANTH"", 'MA CHI XIAN', 'MACHIXIAN', 'PORTULACA NEGLECTA TOP', 'PORTULACA OLERACEA EXTRACT', 'PORTULACA OLERACEA FLOWER/LEAF/STEM EXTRACT', 'PORTULACA OLERACEA FLOWERING TOP', 'PORTULACA OLERACEA TOP', 'PORTULACA RETUSA TOP', 'PORTULACAE HERBA', 'PURSLANE HERB', 'PURSLANE, RAW', 'PURSLANE,RAW', 'WILD PORTULACA TOP']"
CHAMAEMELUM NOBILE FLOWER	['ANTHEMIS NOBILIS EXTRACT', 'ANTHEMIS NOBILIS FLOWER', 'ANTHEMIS NOBILIS FLOWER EXTRACT', 'ANTHEMIS NOBILIS FLOWER POWDER', 'CAMOMILE FLOWER (ROMAN OR ENGLISH)', 'CAMOMILE FLOWER ROMAN EXTRACT', 'CHAMAEMELUM NOBILE (L.) ALL. (ANTHEMIS NOBILIS L.)', 'CHAMAEMELUM NOBILE FLOWER EXTRACT', 'CHAMOMILE EXTRACT, ENGLISH', 'CHAMOMILE EXTRACT, ROMAN', 'CHAMOMILE FLOWER EXTRACT ROMAN', 'CHAMOMILE FLOWER, ROMAN, EXTRACT', 'CHAMOMILLAE ROMANAE FLOS', 'ENGLISH CHAMOMILE FLOWER', 'ROMAN CHAMOMILE FLOWER']
SUNFLOWER OIL	['HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'HELIANTHUS ANNUUS SEED OIL', 'LIPID,STRUCTURED (FROM SUNFLOWER OIL)', 'SUNFLOWER OIL (UNHYDROGENATED)', 'SUNFLOWER SEED OIL']
MACADAMIA OIL	['MACADAMIA (MACADAMIA TERNIFOLIA) NUT OIL', 'MACADAMIA INTEGRIFOLIA OIL', 'MACADAMIA INTEGRIFOLIA SEED OIL', 'MACADAMIA NUT OIL', 'MACADAMIA TERNIFOLIA OIL', 'MACADAMIA TERNIFOLIA SEED OIL']
HETEROTHECA INULOIDES FLOWER	['DIPLOCOMA VILLOSA FLOWER', 'DORONICUM MEXICANUM FLOWER', 'FALSE ARNICA FLOWER', 'FANCY FALSEGOLDENASTER FLOWER', 'HETEROTHECA INULOIDES FLOWER EXTRACT', 'MEXICAN ARNICA FLOWER']
INONOTUS OBLIQUUS FRUITING BODY	['BOLETUS OBLIQUUS FRUITING BODY', 'CHAGA FRUITING BODY', 'CLINKER POLYPORE FRUITING BODY', 'FOMES OBLIQUUS FRUITING BODY', 'FUSCOPORIA OBLIQUA FRUITING BODY', 'INONOTUS OBLIQUUS (MUSHROOM) EXTRACT', 'INONOTUS OBLIQUUS FRUITING BODY EXTRACT', 'MUCRONOPORUS OBLIQUA FRUITING BODY', 'PHAEOPORUS OBLIQUUS FRUITING BODY', 'PHELLINUS OBLIQUUS FRUITING BODY', 'PHYSISPORUS OBLIQUUS FRUITING BODY', 'POLYPORUS OBLIQUUS FRUITING BODY', 'PORIA OBLIQUA FRUITING BODY', 'SCINDALMA OBLIQUUM FRUITING BODY', 'XANTHOCHROUS OBLIQUUS FRUITING BODY']
NELUMBO NUCIFERA FLOWER	['BEAN OF INDIA FLOWER', 'EAST INDIAN LOTUS FLOWER', 'HINDU LOTUS FLOWER', 'INDIAN LOTUS FLOWER', 'LIAN FANG', 'LIANFANG', 'LOTUS PEDUNCLE', 'LOTUS RECEPTACLE', 'NELUMBINIS RECEPTACULUM', 'NELUMBIUM NELUMBO FLOWER', 'NELUMBIUM SPECIOSUM FLOWER', 'NELUMBIUM SPECIOSUM FLOWER EXTRACT', 'NELUMBO NUCIFERA FLOWER EXTRACT', 'NELUMBO NUCIFERA FLOWER POWDER', 'NELUMBO SPECIOSA FLOWER', 'NYMPHAEA NELUMBO FLOWER', 'ORIENTAL LOTUS FLOWER', 'PADMA FLOWER', 'SACRED LOTUS FLOWER']
HYDROGENATED COCONUT OIL	['COCONUT OIL, HYDROGENATED']
BERGAMOT OIL	['BERGAMOT', 'BERGAMOT FRUIT EXTRACT', 'BERGAMOT OIL, COLD-PRESSED', 'BERGAMOT OIL, COLDPRESSED', 'BERGAMOT ORANGE OIL', 'BERGAMOT,IMITATION', 'CITRI BERGAMIA AETHEROLEUM', 'CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT EXTRACT', 'CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL', 'CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT WATER', 'CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL', 'CITRUS AURANTIUM SUBSP. BERGAMIA FRUIT RIND OIL', 'CITRUS AURANTIUM SUBSP. BERGAMIA OIL', 'CITRUS BERGAMIA (BERGAMOT) PEEL OIL', 'CITRUS BERGAMIA EXTRACT', 'CITRUS BERGAMIA FRUIT RIND OIL', 'CITRUS BERGAMIA OIL', 'CITRUS BERGAMIA RISSO & POITEAU.', 'CITRUS X AURANTIUM SUBSP. BERGAMIA FRUIT RIND OIL', 'OIL BERGAMOT', 'OIL OF BERGAMOT']
ANGELICA SINENSIS ROOT	['ANGELICA POLYMORPHA SINENSIS ROOT EXTRACT', 'ANGELICA SINENSIS (OLIV.) DIELS', 'ANGELICA SINENSIS PROCESSED ROOT', 'ANGELICA SINENSIS ROOT DRY EXTRACT', 'ANGELICA SINENSIS ROOT EXTRACT', 'ANGELICA SINENSIS, RADIX', 'ANGELICAE SINENSIS RADIX', 'CHINESE ANGELICA', 'CHINESE ANGELICA EXTRACT', 'CHINESE ANGELICA ROOT', 'DANG GUI ROOT', 'DANG GUI SHEN', 'DANG GUI TOU', 'DANG GUI WEI', 'DANGGUI', 'DONG GUI ROOT', 'DONG QUAI', 'DONG QUAI EXTRACT', 'DONG QUAI PROCESSED ROOT', 'DONG QUAI ROOT', 'STATE OF RETURN', 'TANG KUEI EXTRACT', 'TANG KUEI ROOT', 'WINTER CHERRY ROOT']
SALVIA MILTIORRHIZA ROOT	['CHINESE SAGE ROOT', 'CHINESE SALVIA', 'CHINESE SALVIA ROOT', 'DAN SHEN (SALVIA MILTIORRHIZA)', 'DANSHEN ROOT', 'FUZHENG HUAYU COMPONENT RADIX SALVIA MILTIORRHIZAE', 'RADIX SALVIA MILTIORRHIZAE', 'RED SAGE ROOT', 'RED-ROOT SAGE ROOT', 'SALVIA MILTIORRHIZA ROOT EXTRACT', 'SALVIA MILTIORRHIZA ROOT WITH RHIZOME', 'SALVIA MILTIORRHIZAE ROOT', 'SALVIA ROOT', 'SALVIAE MILTIORRHIZAE RADIX', 'SALVIAE MILTIORRHIZAE RADIX ET RHIZOMA']
ATRACTYLODES LANCEA ROOT OIL	['ATRACTYLODES LANCEA RHIZOME VOLATILE OIL', 'ATRACTYLOIDES JAPONICA ROOT OIL']
SCUTELLARIA LATERIFLORA	['BLUE SKULLCAP WHOLE', 'HOODWORT WHOLE', 'MAD DOG SKULLCAP WHOLE', 'MAD-DOG SKULLCAP WHOLE', 'SCULLCAP', 'SCUTELLARIA LATERIFLORA EXTRACT', 'SKULLCAP', 'SKULLCAP WHOLE', 'VIRGINIAN SKULLCAP WHOLE']
PRUNUS ARMENIACA SEED	['APRICOT KERNEL', 'APRICOT SEED', 'APRICOTS,DRIED GROUND', 'ARMENIACA VULGARIS SEED', 'ARMENIACAE AMARAE SEMEN', 'ARMENIACAE SEMEN', 'ARMENIACAE SEMEN AMARUM (PRUNUS ARMENIACA)', 'BITTER APRICOT SEED (PRUNUS ARMENIACA)', 'CHINESE BITTER ALMOND SEED', 'KU XING REN', 'KUXINGREN (PRUNUS ARMENIACA)', 'PRUNUS ARMENIACA (APRICOT) KERNEL EXTRACT', 'PRUNUS ARMENIACA (APRICOT) SEED POWDER', 'XING REN']
CHAMAECYPARIS OBTUSA WOOD OIL	['CHAMAECYPARIS OBTUSA OIL', 'CHAMAECYPARIS OBTUSA WATER', 'CHAMAECYPARIS OBTUSA WOOD VOLATILE OIL', 'HINOKI CYPRESS WOOD OIL', 'HINOKI FALSE CYPRESS WOOD OIL', 'HINOKI WOOD OIL', 'JAPANESE CYPRESS WOODO OIL']
TARAXACUM OFFICINALE LEAF	"['BLOWBALL LEAF', 'COMMON DANDELION LEAF', 'DANDELION LEAF', 'DANDELION LEAF (TARAXACUM OFFICINALE WEBER EX WIGG.)', 'FACECLOCK LEAF', ""LION'S TOOTH LEAF"", 'TARAXACI FOLIUM (TARAXACUM OFFICINALE WEBER EX WIGG.)', 'TARAXACUM DENS-LEONIS LEAF', 'TARAXACUM OFFICINALE (DANDELION) LEAF EXTRACT', 'TARAXACUM OFFICINALE DRY LEAF', 'TARAXACUM VULGARE LEAF']"
ARNICA MONTANA FLOWER	"['ARNICA', 'ARNICA FLOWER', 'ARNICA FLOWER (ARNICA MONTANA L.)', 'ARNICA FLOWER (ARNICA MONTANA)', 'ARNICA FLOWERS', 'ARNICA FLOWERS EXTRACT', 'ARNICA MONTANA FLOWER EXTRACT', 'ARNICA MONTANA OIL', 'ARNICA MONTANA POWDER', 'ARNICAE FLOS', 'ARNICAE FLOS (ARNICA MONTANA L.)', 'EUROPEAN ARNICA FLOWER', ""LEOPARD'S BANE FLOWER"", 'MOUNTAIN ARNICA FLOWER', 'MOUNTAIN TOBACCO FLOWER']"
LONICERA CONFUSA FLOWER	['CAPRIFOLIUM CONFUSUM FLOWER', 'GOLD-SILVER FLOWER (LONICERA CONFUSA)', 'HONEYSUCKLE FLOWER (LONICERA CONFUSA)', 'JIN YIN HUA (LONICERA CONFUSA)', 'JINYINHUA (LONICERA CONFUSA)', 'LONICERA MULTIFLORA FLOWER', 'LONICERA TELFAIRII FLOWER', 'LONICERAE FLOS (LONICERA CONFUSA)', 'NINTOOA CONFUSA FLOWER', 'SHAN YIN HUA', 'WILD HONEYSUCKLE']
FORSYTHIA SUSPENSA FRUIT	['FORSYTHIA FORTUNEI FRUIT', 'FORSYTHIA FRUIT', 'FORSYTHIA FRUIT (FORSYTHIA SUSPENSA)', 'FORSYTHIA SUSPENSA FRUIT EXTRACT', 'FORSYTHIAE FRUCTUS', 'GOLDENBELLS FRUIT', 'LIAN QIAO', 'LIANQIAO', 'LIGUSTRUM SUSPENSUM FRUIT', 'QINGQIAO', 'RANGIUM SUSPENSUM FRUIT', 'SYRINGA SUSPENSA FRUIT', 'WEEPING FORSYTHIA CAPSULE', 'WEEPING FORSYTHIA FRUIT']
MENTHA ARVENSIS TOP	['CHINESE MINT TOP', 'CORN MINT TOP', 'FIELD MINT TOP', 'JAPANESE MINT TOP', 'MENTHA AUSTRIACA TOP', 'MENTHA GENTILIS TOP', 'MENTHA HERB', 'MENTHA LAPPONICA TOP', 'MENTHA PARIETARIIFOLIA TOP', 'MENTHAE HERBA', 'WILD MINT TOP']
PLATYCODON GRANDIFLORUS ROOT	['BALLOON FLOWER ROOT', 'CAMPANULA GLAUCA ROOT', 'CAMPANULA GRANDIFLORA ROOT', 'CHINESE BELLFLOWER ROOT', 'JAPANESE BELLFLOWER ROOT', 'JIE GENG', 'JIEGENG', 'PLATYCODI RADIX', 'PLATYCODON AUTUMALIS ROOT', 'PLATYCODON CHINENSIS ROOT', 'PLATYCODON GLAUCUS ROOT', 'PLATYCODON GRANDIFLORUM ROOT', 'PLATYCODON GRANDIFLORUM ROOT EXTRACT', 'PLATYCODON ROOT', 'RADIX PLATYCODONIS']
CITRUS JUNOS FRUIT	['CITRI FRUCTUS (CITRUS JUNOS)', 'CITRON FRUIT (CITRUS JUNOS)', 'CITRUS JUNOS FRUIT EXTRACT', 'CITRUS JUNOS FRUIT POWDER', 'CITRUS SECHEN FRUIT', 'CITRUS WILSONII FRUIT', 'CITRUS X AURANTIUM SUBSP. JUNOS FRUIT', 'CITRUS X HSIANGYUAN FRUIT', 'CITRUS X JUNOS FRUIT', 'CITRUS X WILSONII FRUIT', 'KUZU FRUIT', 'XIANGYUAN (CITRUS JUNOS)', 'YUZU FRUIT']
EQUISETUM ARVENSE TOP	['BOTTLEBRUSH TOP', 'COMMON HORSETAIL TOP', 'EQUISETUM', 'EQUISETUM ARVENSE', 'EQUISETUM ARVENSE STERILE TOP', 'EQUISETUM ARVENSE TOP EXTRACT', 'EQUISETUM ARVENSE VEGETATIVE SHOOT', 'EQUISETUM ARVENSE VEGETATIVE TOP', 'EQUISETUM CALDERI TOP', 'EXTRACT OF THE STERILE CAULES OF EQUISETUM ARVENSE', 'FIELD HORSETAIL TOP', 'FOXTAIL-RUSH TOP', 'HORESETAIL-FERN TOP', 'HORSE-PIPES TOP', 'HORSETAIL (EQUISETUM ARVENSE) EXTRACT', 'MEADOW-PINE TOP', 'PINE-GRASS TOP', 'SCOURING RUSH TOP', 'SHAVE GRASS TOP', 'SHAVETAIL GRASS TOP', 'SNAKE-GRASS TOP', 'WESTERN HORSETAIL TOP']
INULA HELENIUM ROOT	['AUCKLANDIAE LAPPA RADIX (INULA HELENIUM)', 'AUCKLANDIAE RADIX (INULA HELENIUM)', 'ELECAMPANE', 'ELECAMPANE EXTRACT', 'ELECAMPANE INULA ROOT', 'ELECAMPANE RHIZOME', 'ELECAMPANE ROOT', 'ELECAMPANE ROOT EXTRACT', 'ELF-DOCK ROOT', 'ELF-WORT ROOT', 'HORSE-ELDER ROOT', 'HORSE-HEAL ROOT', 'INULA', 'INULA HELENIUM', 'INULA HELENIUM EXTRACT', 'INULA HELENIUM RHIZOME', 'INULA HELENIUM ROOT EXTRACT', 'INULA HELENIUM ROOT WITH RHIZOME', 'INULA ROOT (INULA HELENIUM)', 'INULAE RACEMOSAE RADIX (INULA HELENIUM)', 'INULAE RADIX (INULA HELENIUM)', 'MU XIANG (INULA HELENIUM)', 'SAUSSUREA RADIX (INULA HELENIUM)', 'SCAB-WORT ROOT', 'TU MU XIANG', 'TU MU XIANG ROOT', 'TUMUXIANG (INULA HELENIUM)', 'VELVET-DOCK ROOT', 'WOOD FRAGRANCE (INULA HELENIUM)', 'YELLOW STARWORT ROOT']
USNEA BARBATA	['BEARDED USNEA', 'LICHEN BARBATUS', 'USNEA', 'USNEA (USNEA BARBATA)', 'USNEA BARBATA (LICHEN) EXTRACT', 'USNEA BARBATA WHOLE', 'USNEA EXTRACT']
AZADIRACHTA INDICA LEAF	['ANTELAEA AZADIRACHTA LEAF', 'AZADIRACHTA INDICA LEAF EXTRACT', 'AZADIRACHTA LEAF', 'BEAD TREE LEAF', 'MARGOSA LEAF', 'MELIA AZADIRACHTA LEAF', 'MELIA AZADIRACHTA LEAF EXTRACT', 'MELIA AZADIRACHTA LEAF POWDER', 'NEEM LEAF', 'NIMBA LEAF']
ZANTHOXYLUM CLAVA-HERCULIS WHOLE	['HERCULES CLUB WHOLE', 'HERCULES-CLUB PRICKLYASH WHOLE', 'HERCULES-CLUB WHOLE', 'PEPPERWOOD WHOLE', 'SOUTHERN PRICKLY ASH', 'ZANTHOXYLUM CLAVA-HERCULIS']
SALIX ALBA BARK VOLATILE OIL	['GOLDEN WILLOW BARK VOLATILE OIL', 'GOLDEN WILLOW BARK WATER', 'SALIX ALBA (WILLOW) BARK WATER', 'SALIX ALBA BARK WATER', 'SALIX VITELLINA BARK VOLATILE OIL', 'SALIX VITELLINA BARK WATER', 'WHITE WILLOW BARK VOLATILE OIL', 'WHITE WILLOW BARK WATER']
APPLE FRUIT OIL	['APPLE FRUIT WATER', 'MALUS DOMESTICA FRUIT OIL', 'MALUS DOMESTICA FRUIT WATER', 'MALUS X DOMESTICA FRUIT OIL', 'PYRUS MALUS (APPLE) FRUIT WATER']
PLATYCODON GRANDIFLORUS LEAF	['BALLOON FLOWER LEAF', 'CHINESE-BELLFLOWER LEAF', 'JAPANESE BELLFLOWER LEAF', 'JIE GENG LEAF', 'PLATYCODON GRANDIFLORUM LEAF', 'PLATYCODON LEAF']
CHAMOMILE	['BLUE CHAMOMILE FLOWER', 'CHAMOMILE EXTRACT', 'CHAMOMILE FLOWER (HUNGARIAN OR GERMAN)', 'CHAMOMILE FLOWER, GERMAN', 'CHAMOMILE FLOWERS', 'CHAMOMILE TEA', 'CHAMOMILLA CHAMOMILLA FLOWER', 'CHAMOMILLA FLOWER', 'CHAMOMILLA RECUTITA (MATRICARIA) FLOWER', 'CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT', 'CHAMOMILLA RECUTITA (MATRICARIA) FLOWER POWDER', 'CHAMOMILLA RECUTITA FLOWER', 'CHAMOMILLA VULGARIS FLOWER', 'GERMAN CHAMOMILE EXTRACT', 'GERMAN CHAMOMILE FLOWER', 'HUNGARIAN CHAMOMILE EXTRACT', 'HUNGARIAN CHAMOMILE FLOWER', 'MATRICARIA CHAMOMILLA EXTRACT', 'MATRICARIA CHAMOMILLA FLOWER', 'MATRICARIA CHAMOMILLA FLOWER EXTRACT', 'MATRICARIA FLOWER', 'MATRICARIA RECUTITA FLOWER', 'MATRICARIA RECUTITA FLOWER DRY EXTRACT', 'MATRICARIA RECUTITA FLOWER EXTRACT', 'MATRICARIA RECUTITA L. FLOWER', 'MATRICARIA RECUTITA PREPARATION', 'MATRICARIA SUAVEOLENS FLOWER', 'MATRICARIAE FLOS', 'MAYWEED FLOWER', 'SCENTED MAYWEED FLOWER', 'SWEET FALSE CHAMOMILE FLOWER', 'TRUE CHAMOMILE FLOWER', 'WILD CHAMOMILE FLOWER']
TRIBULUS TERRESTRIS	['BINDII WHOLE', 'BULLHEAD WHOLE', 'BURRA GOKHARU WHOLE', 'CALTROP WHOLE', 'GOATHEAD WHOLE', 'GOKSHURA WHOLE', 'MEXICAN SANDBUR WHOLE', 'PUNCTURE VINE WHOLE', 'PUNCTUREVINE CALTROP WHOLE', 'SMALL CALTROPS WHOLE', 'TEXAS SANDBUR WHOLE', 'TRIBULUS', 'TRIBULUS WHOLE', 'YELLOW VINE WHOLE']
TREMELLA FUCIFORMIS WHOLE	['SILVER EAR FUNGUS WHOLE', 'SNOW FUNGUS WHOLE', 'TREMELLA', 'TREMELLA FUCIFORMIS']
SAW PALMETTO	['ABAL FRUCTUS', 'BRAHEA SERRULATA FRUIT', 'CHAMAEROPS SERRULATA FRUIT', 'CORYPHA OBLIQUA FRUIT', 'CORYPHA REPENS FRUIT', 'DIGLOSSOPHYLLUM SERRULATUM FRUIT', 'SABAL PALM FRUIT', 'SABAL SERRULATA', 'SABAL SERRULATA FRUIT', 'SABALIS SERRULATAE FRUCTUS (SERENOA REPENS (W. BARTRAM) SMALL (SABAL SERRULATA (MICHAUX) NICHOLS))', 'SAW PALMETTO BERRY', 'SAW PALMETTO EXTRACT', 'SAW PALMETTO FRUIT', 'SAW PALMETTO FRUIT (SERENOA REPENS (W. BARTRAM) SMALL (SABAL SERRULATA (MICHAUX) NICHOLS))', 'SAW PALMETTO FRUIT EXTRACT', 'SERENOA', 'SERENOA PREPARATION', 'SERENOA REPENS FRUIT', 'SERENOA REPENS FRUIT DRY EXTRACT', 'SERENOA REPENS FRUIT ETHANOL EXTRACT', 'SERENOA SERRULATA FRUIT', 'SERENOA SERRULATA FRUIT EXTRACT', 'SERENOA SERRULATA FRUIT POWDER']
RICE BRAN	['ORYZA SATIVA (RICE) BRAN', 'ORYZA SATIVA (RICE) BRAN EXTRACT', 'ORYZA SATIVA (RICE) BRAN WAX', 'ORYZA SATIVA (RICE) HULL EXTRACT', 'ORYZA SATIVA (RICE) HULL POWDER', 'ORYZA SATIVA BRAN', 'ORYZA SATIVE BRAN WAX', 'RICE BRAN FIBER', 'RICE BRAN WAX', 'RICE HULL']
MORINGA OLEIFERA LEAF	['HORSERADISH TREE LEAF', 'HORSERADISHTREE LEAF', 'MARANGA LEAF', 'MORINGA MORINGA LEAF', 'MORINGA OLEIFERA LEAF EXTRACT', 'MORINGA PTERYGOSPERMA LEAF', 'MURINGNGA LEAF', 'MURUNGAI LEAF', 'SHIGRU LEAF', 'SHOBHANJANA LEAF']
ROSA CENTIFOLIA FLOWER OIL	['CABBAGE ROSE OIL', 'CABBAGE ROSE WATER', 'ROSA CENTIFOLIA FLOWER VOLATILE OIL', 'ROSA CENTIFOLIA FLOWER WATER', 'ROSE ABSOLUTE (ROSA CENTIFOLIA)']
SCUTELLARIA BAICALENSIS ROOT	['BAICAL SKULLCAP ROOT', 'HUANG QIN', 'HUANGQIN', 'SCUTELLARIA BAICALENSIS', 'SCUTELLARIA BAICALENSIS EXTRACT', 'SCUTELLARIA BAICALENSIS ROOT DRY EXTRACT', 'SCUTELLARIA BAICALENSIS ROOT EXTRACT', 'SCUTELLARIA BAICALENSIS ROOT GEORGI', 'SCUTELLARIA BAICALENSIS ROOT POWDER', 'SCUTELLARIA LANCEOLARIA ROOT', 'SCUTELLARIA MACRANTHA ROOT', 'SCUTELLARIA ROOT', 'SCUTELLARIA ROOT EXTRACT', 'SCUTELLARIAE RADIX']
GARCINIA GUMMI-GUTTA FRUIT	['BRINDALL BERRY FRUIT', 'BRINDLEBERRY FRUIT', 'GAMBOOGE FRUIT', 'GARCINIA CAMBOGIA', 'GARCINIA CAMBOGIA (CONSTITUENT OF GARCINIA CAMBOGIA AND GARCINIA INDICA)', 'GARCINIA CAMBOGIA FRUIT', 'GARCINIA CAMBOGIA FRUIT EXTRACT', 'GARCINIA FRUIT', 'GORAKA FRUIT', 'KODUMPULI FRUIT', 'MALABAR TAMARIND FRUIT']
ILEX PARAGUARIENSIS LEAF	"['HOUX MATE', 'ILEX MATE', 'ILEX PARAGUARIENSIS', 'ILEX PARAGUARIENSIS LEAF EXTRACT', ""JESUIT'S TEA"", 'MAT', 'MATE', 'MATE (LEAVES)', 'MATE ABSOLUTE', 'MATE EXTRACT', 'MATE FOLIUM', 'MATE FOLIUM (ILEX PARAGUARIENSIS ST. HILAIRE)', ""MATE' LEAF (ILEX PARAGUARIENSIS ST. HILAIRE)"", 'PARAGUAY TEA', 'PARAGUAY TEA EXTRACT', 'YERBA MAT', 'YERBA MATE', 'YERBA MATE EXTRACT']"
CHONDRUS CRISPUS	['CARAGEEN', 'CARAGEEN LEAF', 'CARRAGEEN', 'CARRAGEEN LEAF', 'CARRAGEEN MOSS', 'CHONDRUS CRISPUS LEAF', 'CHONDRUS CRISPUS POWDER', 'CHONDRUS CRISPUS WHOLE', 'CHONDRUS NORVEGICUS', 'CHONDRUS PLATYNUS', 'FUCUS NORVEGICUS', 'HALYMENIA PLATYNUS', 'IRIDAEA HETEROCARPA', 'IRIDOPHYCUS HETEROCARPUM', 'IRISH MOSS', 'IRISH MOSS (CHONDRUS CRISPUS)', 'MAZZAELLA HETEROCARPA', 'POLYMORPHA CRISPA']
CAPSICUM ANNUUM WHOLE	['CAPSICUM ANNUUM WHOLE EXTRACT', 'CAYENNE PEPPER WHOLE', 'PIMENTO WHOLE', 'RED PEPPER WHOLE', 'SWEET PEPPER WHOLE']
TYPHONIUM GIGANTEUM WHOLE	['TYPHONIUM', 'TYPHONIUM GIGANTEUM', 'TYPHONIUM GIRALDII WHOLE', 'TYPHONIUM STOLICZKAE WHOLE', 'TYPHONIUM WHOLE']
PHELLODENDRON AMURENSE BARK	['AMUR CORK TREE BARK', 'AMUR CORK-TREE', 'AMUR CORK-TREE BARK (PHELLODENDRON AMURENSE)', 'GUANHUANGBO', 'PHELLODENDRI AMURENSIS CORTEX', 'PHELLODENDRI CORTEX (PHELLODENDRON AMURENSE)', 'PHELLODENDRON AMURENSE', 'PHELLODENDRON AMURENSE BARK EXTRACT', 'PHELLODENDRON BARK (PHELLODENDRON AMURENSE)', 'YELLOW FIR (PHELLODENDRON AMURENSE)']
MANGOSTIN	['.ALPHA.-MANGOSTEN', '.ALPHA.-MANGOSTIN', '7-O-METHYL-.GAMMA.-MANGOSTIN', '7-O-METHYL-4-DESPRENYLCOSTATIN']
MELALEUCA ALTERNIFOLIA LEAF	['MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF', 'MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF EXTRACT', 'MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF POWDER', 'NARROW-LEAVED PAPERBARK LEAF', 'NARROW-LEAVED TEA-TREE LEAF', 'NARROW-LEAVED TI-TREE LEAF', 'SNOW-IN-SUMMER LEAF', 'TEA TREE']
QUERCUS ACUTISSIMA WHOLE	['QUERCUS ACUTISSIMA', 'SAWTOOTH OAK WHOLE']
MILK THISTLE	"['822I9LEJ7S', 'CARDUI MARIAE FRUCTUS', 'CARDUUS MARIANUS', 'CARDUUS MARIANUS PREPARATION', 'CARDUUS MARIANUS SEED', 'FRUIT OF SILYBUM MARIANUM', 'HOLY THISTLE SEED', ""LADY'S THISTLE SEED"", 'MARIANA MARIANA SEED', ""MARY'S THISTLE SEED"", 'MILK THISTLE EXTRACT', 'MILK THISTLE FRUIT', 'MILK THISTLE SEED', 'MILK THISTLE SEED EXTRACT', 'MILK THISTLE SILYMARIN', 'MILKTHISTLE FRUIT (SILYBUM MARIANUM L. GAERTNER)', ""SAINT MARY'S THISTLE EXTRACT"", 'SHUIFEIJI', 'SILYBI FRUCTUS', 'SILYBI MARIANI FRUCTUS (SILYBUM MARIANUM L. GAERTNER)', 'SILYBUM MARIANUM DRY FRUIT', 'SILYBUM MARIANUM DRY FRUIT EXTRACT', 'SILYBUM MARIANUM EXTRACT', 'SILYBUM MARIANUM FRUIT', 'SILYBUM MARIANUM FRUIT EXTRACT', 'SILYBUM MARIANUM SEED', 'SILYBUM MARIANUM SEED EXTRACT']"
