A	ALIMENTARY TRACT AND METABOLISM
N06	PSYCHOANALEPTICS
N06A	ANTIDEPRESSANTS
N06A A	NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS
N06A A01	DESIPRAMINE
N06A A02	IMIPRAMINE
N06A A03	IMIPRAMINE OXIDE
N06A A04	CLOMIPRAMINE
N06A A05	OPIPRAMOL
N06A A06	TRIMIPRAMINE
N06A A07	LOFEPRAMINE
N06A A08	DIBENZEPIN
N06A A09	AMITRIPTYLINE
N06A A10	NORTRIPTYLINE
N06A A11	PROTRIPTYLINE
N06A A12	DOXEPIN
N06A A13	IPRINDOLE
N06A A14	MELITRACEN
N06A A15	BUTRIPTYLINE
N06A A16	DOSULEPIN
N06A A17	AMOXAPINE
N06A A18	DIMETACRINE
N06A A19	AMINEPTINE
N06A A21	MAPROTILINE
N06A A22	VENLAFAXINE - OLD CODE
N06A A23	QUINUPRAMINE
N06A A24	MILNACIPRAN - OLD CODE
N06A B	SELECTIVE SEROTONIN REUPTAKE INHIBITORS
N06A B02	ZIMELDINE
N06A B03	FLUOXETINE
N06A B04	CITALOPRAM
N06A B05	PAROXETINE
N06A B06	SERTRALINE
N06A B07	ALAPROCLATE
N06A B08	FLUVOXAMINE
N06A B09	ETOPERIDONE
N06A B10	ESCITALOPRAM
N06A F	"MONOAMINE OXIDASE INHIBITORS, NON-SELECTIVE"
N06A F01	ISOCARBOXAZID
N06A F02	NIALAMIDE
N06A F03	PHENELZINE
N06A F04	TRANYLCYPROMINE
N06A F05	IPRONIAZIDE
N06A G	MONOAMINE OXIDASE A INHIBITORS
N06A G02	MOCLOBEMIDE
N06A G03	TOLOXATONE
N06A X	OTHER ANTIDEPRESSANTS
N06A X01	OXITRIPTAN
N06A X02	TRYPTOPHAN
N06A X03	MIANSERIN
N06A X04	NOMIFENSINE
N06A X05	TRAZODONE
N06A X06	NEFAZODONE
N06A X07	MINAPRINE
N06A X08	BIFEMELANE
N06A X09	VILOXAZINE
N06A X10	OXAFLOZANE
N06A X11	MIRTAZAPINE
N06A X12	BUPROPION
N06A X13	MEDIFOXAMINE
N06A X14	TIANEPTINE
N06A X15	PIVAGABINE
N06A X16	VENLAFAXINE
N06A X17	MILNACIPRAN
N06A X18	REBOXETINE
N06A X19	GEPIRONE
N06A X21	DULOXETINE
N06A X22	AGOMELATINE
N06A X23	DESVENLAFAXINE
N06A X24	VILAZODONE
N06A X25	HYPERICI HERBA
N06A X26	VORTIOXETINE
N06B	"PSYCHOSTIMULANTS, AGENTS USED FOR ATTENTION DEFICIT HYPERACTIVITY DISORDER AND NOOTROPICS"
N06B A	CENTRALLY ACTING SYMPATHOMIMETICS
N06B A01	AMFETAMINE
N06B A02	DEXAMFETAMINE
N06B A03	METAMFETAMINE
N06B A04	METHYLPHENIDATE
N06B A05	PEMOLINE
N06B A06	FENCAMFAMIN
N06B A07	MODAFINIL
N06B A08	FENOZOLONE
N06B A09	ATOMOXETINE
N06B A10	FENETYLLINE
N06B A11	DEXMETHYLPHENIDATE
N06B A12	LISDEXAMFETAMINE
N06B A13	ARMODAFINIL
N06B B	BICYCLIC COMPOUNDS
N06B B01	METHYLPHENIDATE - OLD CODE
N06B B02	PEMOLINE
N06B B03	FENCAMFAMIN
N06B B04	PROLINTANE
N06B C	XANTHINE DERIVATIVES
N06B C01	CAFFEINE
N06B C02	PROPENTOFYLLINE
N06B D	TRICYCLIC COMPOUNDS
N06B D01	PIPRADROL
N06B X	OTHER PSYCHOSTIMULANTS AND NOOTROPICS
N06B X01	MECLOFENOXATE
N06B X02	PYRITINOL
N06B X03	PIRACETAM
N06B X04	DEANOL
N06B X05	FIPEXIDE
N06B X06	CITICOLINE
N06B X07	OXIRACETAM
N06B X08	PIRISUDANOL
N06B X09	LINOPIRDINE
N06B X10	NIZOFENONE
N06B X11	ANIRACETAM
N06B X12	ACETYLCARNITINE
N06B X13	IDEBENONE
N06B X14	PROLINTANE
N06B X15	PIPRADROL
N06B X16	PRAMIRACETAM
N06B X17	ADRAFINIL
N06B X18	VINPOCETINE
N06B X21	MEBICAR
N06B X22	PHENIBUT
N06C	PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION
N06C A	ANTIDEPRESSANTS IN COMBINATION WITH PSYCHOLEPTICS
N06C A01	AMITRIPTYLINE AND PSYCHOLEPTICS
N06C A02	MELITRACEN AND PSYCHOLEPTICS
N06C A03	FLUOXETINE AND PSYCHOLEPTICS
N06C B	PSYCHOSTIMULANTS IN COMBINATION WITH PSYCHOLEPTICS
N06D	ANTI-DEMENTIA DRUGS
N06D A	ANTICHOLINESTERASES
N06D A01	TACRINE
N06D A02	DONEPEZIL
N06D A03	RIVASTIGMINE
N06D A04	GALANTAMINE
N06D A05	IPIDACRINE
N06D A52	DONEPEZIL AND MEMANTINE
N06D A53	"DONEPEZIL, MEMANTINE AND GINKGO FOLIUM"
N06D X	OTHER ANTI-DEMENTIA DRUGS
N06D X01	MEMANTINE
N06D X02	GINKGO FOLIUM
N06D X30	COMBINATIONS
N07	OTHER NERVOUS SYSTEM DRUGS
N07A	PARASYMPATHOMIMETICS
N07A A	ANTICHOLINESTERASES
N07A A01	NEOSTIGMINE
N07A A02	PYRIDOSTIGMINE
N07A A03	DISTIGMINE
N07A A05	DONEPEZIL
N07A A06	RIVASTIGMINE
N07A A30	AMBENONIUM
N07A A51	"NEOSTIGMINE, COMBINATIONS"
N07A B	CHOLINE ESTERS
N07A B01	CARBACHOL
N07A B02	BETHANECHOL
N07A X	OTHER PARASYMPATHOMIMETICS
N07A X01	PILOCARPINE
N07A X02	CHOLINE ALFOSCERATE
N07A X03	CEVIMELINE
N07B	DRUGS USED IN ADDICTIVE DISORDERS
N07B A	DRUGS USED IN NICOTINE DEPENDENCE
N07B A01	NICOTINE
N07B A02	BUPROPION - OLD CODE
N07B A03	VARENICLINE
N07B A04	CYTISINE
N07B B	DRUG USED IN ALCOHOL DEPENDENCE
N07B B01	DISULFIRAM
N07B B02	CALCIUM CARBIMIDE
N07B B03	ACAMPROSATE
N07B B04	NALTREXONE
N07B B05	NALMEFENE
N07B C	DRUGS USED IN OPIOID DEPENDENCE
N07B C01	BUPRENORPHINE
N07B C02	METHADONE
N07B C03	LEVACETYLMETHADOL
N07B C04	LOFEXIDINE
N07B C05	LEVOMETHADONE
N07B C06	DIAMORPHINE
N07B C51	"BUPRENORPHINE, COMBINATIONS"
N07C	ANTIVERTIGO PREPARATIONS
N07C A	ANTIVERTIGO PREPARATIONS
N07C A01	BETAHISTINE
N07C A02	CINNARIZINE
N07C A03	FLUNARIZINE
N07C A04	ACETYLLEUCINE
N07C A52	"CINNARIZINE, COMBINATIONS"
N07X	OTHER NERVOUS SYSTEM DRUGS
N07X A	GANGLIOSIDES AND GANGLIOSIDE DERIVATIVES
N07X X	OTHER NERVOUS SYSTEM DRUGS
N07X X01	TIRILAZAD
N07X X02	RILUZOLE
N07X X03	XALIPRODEN
N07X X04	SODIUM OXYBATE
N07X X05	AMIFAMPRIDINE
N07X X06	TETRABENAZINE
N07X X07	FAMPRIDINE
N07X X08	TAFAMIDIS
N07X X09	DIMETHYL FUMARATE
N07X X10	LAQUINIMOD
N07X X11	PITOLISANT
N07X X59	"DEXTROMETHORPHAN, COMBINATIONS"
P	"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01	ANTIPROTOZOALS
P01A	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01A A	HYDROXYQUINOLINE DERIVATIVES
P01A A01	BROXYQUINOLINE
P01A A02	CLIOQUINOL
P01A A04	CHLORQUINALDOL
P01A A05	TILBROQUINOL
P01A A52	"CLIOQUINOL, COMBINATIONS"
P01A B	NITROIMIDAZOLE DERIVATIVES
P01A B01	METRONIDAZOLE
P01A B02	TINIDAZOLE
P01A B03	ORNIDAZOLE
P01A B04	AZANIDAZOLE
P01A B05	PROPENIDAZOLE
P01A B06	NIMORAZOLE
P01A B07	SECNIDAZOLE
P01A B51	"METRONIDAZOLE, COMBINATIONS"
P01A C	DICHLOROACETAMIDE DERIVATIVES
P01A C01	DILOXANIDE
P01A C02	CLEFAMIDE
P01A C03	ETOFAMIDE
P01A C04	TECLOZAN
P01A R	ARSENIC COMPOUNDS
P01A R01	ARSTHINOL
P01A R02	DIFETARSONE
P01A R03	GLYCOBIARSOL
P01A R53	"GLYCOBIARSOL, COMBINATIONS"
P01A X	OTHER AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01A X01	CHINIOFON
P01A X02	EMETINE
P01A X04	PHANQUINONE
P01A X05	MEPACRINE
P01A X06	ATOVAQUONE
P01A X07	TRIMETREXATE
P01A X08	TENONITROZOLE
P01A X09	DIHYDROEMETINE
P01A X10	FUMAGILLIN
P01A X11	NITAZOXANIDE
P01A X52	"EMETINE, COMBINATIONS"
P01B	ANTIMALARIALS
P01B A	AMINOQUINOLINES
P01B A01	CHLOROQUINE
P01B A02	HYDROXYCHLOROQUINE
P01B A03	PRIMAQUINE
P01B A05	MEFLOQUINE - OLD CODE
P01B A06	AMODIAQUINE
P01B B	BIGUANIDES
P01B B01	PROGUANIL
P01B B02	CYCLOGUANIL EMBONATE
P01B B51	"PROGUANIL, COMBINATIONS"
P01B C	METHANOLQUINOLINES
P01B C01	QUININE
P01B C02	MEFLOQUINE
P01B D	DIAMINOPYRIMIDINES
P01B D01	PYRIMETHAMINE
P01B D51	"PYRIMETHAMINE, COMBINATIONS"
P01B E	"ARTEMISININ AND DERIVATIVES, PLAIN"
P01B E01	ARTEMISININ
P01B E02	ARTEMETHER
P01B E03	ARTESUNATE
P01B E04	ARTEMOTIL
P01B E05	ARTENIMOL
P01B E52	ARTEMETHER AND LUMEFANTRINE - OLD CODE
P01B F	"ARTEMISININ AND DERIVATIVES, COMBINATIONS"
P01B F01	ARTEMETHER AND LUMEFANTRINE
P01B F02	ARTESUNATE AND MEFLOQUINE
P01B F03	ARTESUNATE AND AMODIAQUINE
P01B F04	ARTESUNATE AND SULPHAMETHOPYRAZINE AND PYRIMETHAMINE
P01B F05	ARTENIMOL AND PIPERAQUINE
P01B F06	ARTESUNATE AND PYRONARIDINE
P01B X	OTHER ANTIMALARIALS
P01B X01	HALOFANTRINE
P01B X02	ARTEROLANE AND PIPERAQUINE
P01C	AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P01C A	NITROIMIDAZOLE DERIVATIVES
P01C A02	BENZNIDAZOLE
P01C B	ANTIMONY COMPOUNDS
P01C B01	MEGLUMINE ANTIMONATE
P01C B02	SODIUM STIBOGLUCONATE
P01C C	NITROFURAN DERIVATIVES
P01C C01	NIFURTIMOX
P01C C02	NITROFURAL
P01C D	ARSENIC COMPOUNDS
P01C D01	MELARSOPROL
P01C D02	ACETARSOL
P01C X	OTHER AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P01C X01	PENTAMIDINE ISETHIONATE
P01C X02	SURAMIN SODIUM
P01C X03	EFLORNITHINE
P02	ANTHELMINTICS
P02B	ANTITREMATODALS
P02B A	QUINOLINE DERIVATIVES AND RELATED SUBSTANCES
P02B A01	PRAZIQUANTEL
P02B A02	OXAMNIQUINE
P02B B	ORGANOPHOSPHOROUS COMPOUNDS
P02B B01	METRIFONATE
P02B X	OTHER ANTITREMATODAL AGENTS
P02B X01	BITHIONOL
P02B X02	NIRIDAZOLE
P02B X03	STIBOPHEN
P02B X04	TRICLABENDAZOLE
P02C	ANTINEMATODAL AGENTS
P02C A	BENZIMIDAZOLE DERIVATIVES
P02C A01	MEBENDAZOLE
P02C A02	TIABENDAZOLE
P02C A03	ALBENDAZOLE
P02C A04	CICLOBENDAZOLE
P02C A05	FLUBENDAZOLE
P02C A06	FENBENDAZOLE
P02C A51	"MEBENDAZOLE, COMBINATIONS"
P02C B	PIPERAZINE AND DERIVATIVES
P02C B01	PIPERAZINE
P02C B02	DIETHYLCARBAMAZINE
P02C C	TETRAHYDROPYRIMIDINE DERIVATIVES
P02C C01	PYRANTEL
P02C C02	OXANTEL
P02C E	IMIDAZOTHIAZOLE DERIVATIVES
P02C E01	LEVAMISOLE
P02C F	AVERMECTINES
P02C F01	IVERMECTIN
P02C X	OTHER ANTINEMATODALS
P02C X01	PYRVINIUM
P02C X02	BEPHENIUM
P02D	ANTICESTODALS
P02D A	SALICYLIC ACID DERIVATIVES
P02D A01	NICLOSAMIDE
P02D X	OTHER ANTICESTODALS
P02D X01	DESASPIDIN
P02D X02	DICHLOROPHEN
P03	"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS"
P03A	"ECTOPARASITICIDES, INCL. SCABICIDES"
P03A A	SULFUR CONTAINING PRODUCTS
P03A A01	DIXANTHOGEN
P03A A02	POTASSIUM POLYSULFIDE
P03A A03	MESULFEN
P03A A04	DISULFIRAM
P03A A05	THIRAM
P03A A54	"DISULFIRAM, COMBINATIONS"
P03A B	CHLORINE CONTAINING PRODUCTS
P03A B01	CLOFENOTANE
P03A B02	LINDANE
P03A B51	"CLOFENOTANE, COMBINATIONS"
P03A C	"PYRETHRINES, INCL. SYNTHETIC COMPOUNDS"
P03A C01	PYRETHRUM
P03A C02	BIOALLETHRIN
P03A C03	PHENOTHRIN
P03A C04	PERMETHRIN
P03A C51	"PYRETHRUM, COMBINATIONS"
P03A C52	"BIOALLETHRIN, COMBINATIONS"
P03A C53	"PHENOTHRIN, COMBINATIONS"
P03A C54	"PERMETHRIN, COMBINATIONS"
P03A X	"OTHER ECTOPARASITICIDES, INCL. SCABICIDES"
P03A X01	BENZYL BENZOATE
P03A X02	COPPER OLEINATE
P03A X03	MALATHION
P03A X04	QUASSIA
P03A X05	DIMETICONE
P03A X06	BENZYL ALCOHOL
P03B	INSECTICIDES AND REPELLENTS
P03B A	PYRETHRINES
P03B A01	CYFLUTHRIN
P03B A02	CYPERMETHRIN
P03B A03	DECAMETHRIN
P03B A04	TETRAMETHRIN
P03B X	OTHER INSECTICIDES AND REPELLENTS
P03B X01	DIETHYLTOLUAMIDE
P03B X02	DIMETHYLPHTHALATE
P03B X03	DIBUTYLPHTHALATE
P03B X04	DIBUTYLSUCCINATE
P03B X05	DIMETHYLCARBATE
P03B X06	ETOHEXADIOL
R	RESPIRATORY SYSTEM
R0	RESPIRATORY SYSTEM
R01	NASAL PREPARATIONS
R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01A A	"SYMPATHOMIMETICS, PLAIN"
R01A A02	CYCLOPENTAMINE
R01A A03	EPHEDRINE
R01A A04	PHENYLEPHRINE
R01A A05	OXYMETAZOLINE
R01A A06	TETRYZOLINE
R01A A07	XYLOMETAZOLINE
R01A A08	NAPHAZOLINE
R01A A09	TRAMAZOLINE
R01A A10	METIZOLINE
R01A A11	TUAMINOHEPTANE
R01A A12	FENOXAZOLINE
R01A A13	TYMAZOLINE
R01A A15	INDANAZOLINE
R01A B	"SYMPATHOMIMETICS, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B01	"PHENYLEPHRINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B02	"NAPHAZOLINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B03	"TETRYZOLINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B05	"EPHEDRINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B06	"XYLOMETAZOLINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B07	"OXYMETAZOLINE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A B08	"TUAMINOHEPTANE, COMBINATIONS EXCL. CORTICOSTEROIDS"
R01A C	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"
R01A C01	CROMOGLICIC ACID
R01A C02	LEVOCABASTINE
R01A C03	AZELASTINE
R01A C04	ANTAZOLINE
R01A C05	SPAGLUMIC ACID
R01A C06	THONZYLAMINE
R01A C07	NEDOCROMIL
R01A C08	OLOPATADINE
R01A C51	"CROMOGLICIC ACID, COMBINATIONS"
R01A D	CORTICOSTEROIDS
R01A D01	BECLOMETASONE
R01A D02	PREDNISOLONE
R01A D03	DEXAMETHASONE
R01A D04	FLUNISOLIDE
R01A D05	BUDESONIDE
R01A D06	BETAMETHASONE
R01A D07	TIXOCORTOL
R01A D08	FLUTICASONE
R01A D09	MOMETASONE
R01A D11	TRIAMCINOLONE
R01A D12	FLUTICASONE FUROATE
R01A D13	CICLESONIDE
R01A D52	"PREDNISOLONE, COMBINATIONS"
R01A D53	"DEXAMETHASONE, COMBINATIONS"
R01A D57	"TIXOCORTOL, COMBINATIONS"
R01A D58	"FLUTICASONE, COMBINATIONS"
R01A D60	"HYDROCORTISONE, COMBINATIONS"
R01A X	OTHER NASAL PREPARATIONS
R01A X01	CALCIUM HEXAMINE THIOCYANATE
R01A X02	RETINOL
R01A X03	IPRATROPIUM BROMIDE
R01A X05	RITIOMETAN
R01A X06	MUPIROCIN
R01A X07	HEXAMIDINE
R01A X08	FRAMYCETIN
R01A X09	HYALURONIC ACID
R01A X10	VARIOUS
R01A X30	COMBINATIONS
R01B	NASAL DECONGESTANTS FOR SYSTEMIC USE
R01B A	SYMPATHOMIMETICS
R01B A01	PHENYLPROPANOLAMINE
R01B A02	PSEUDOEPHEDRINE
R01B A03	PHENYLEPHRINE
R01B A51	"PHENYLPROPANOLAMINE, COMBINATIONS"
R01B A52	"PSEUDOEPHEDRINE, COMBINATIONS"
R01B A53	"PHENYLEPHRINE, COMBINATIONS"
R01D	CORTICOSTEROIDS
R02	THROAT PREPARATIONS
R02A	THROAT PREPARATIONS
R02A A	ANTISEPTICS
R02A A01	AMBAZONE
R02A A02	DEQUALINIUM
R02A A03	DICHLOROBENZYL ALCOHOL
R02A A05	CHLORHEXIDINE
R02A A06	CETYLPYRIDINIUM
R02A A09	BENZETHONIUM
R02A A10	MYRISTYL-BENZALKONIUM
R02A A11	CHLORQUINALDOL
R02A A12	HEXYLRESORCINOL
R02A A13	ACRIFLAVINIUM CHLORIDE
R02A A14	OXYQUINOLINE
R02A A15	POVIDONE-IODINE
R02A A16	BENZALKONIUM
R02A A17	CETRIMONIUM
R02A A18	HEXAMIDINE
R02A A20	VARIOUS
R02A A21	OCTENIDINE
R02A B	ANTIBIOTICS
R02A B01	NEOMYCIN
R02A B02	TYROTHRICIN
R02A B03	FUSAFUNGINE
R02A B04	BACITRACIN
R02A B30	GRAMICIDIN
R02A D	"ANESTHETICS, LOCAL"
R02A D01	BENZOCAINE
R02A D02	LIDOCAINE
R02A D03	COCAINE
R02A X	OTHER THROAT PREPARATIONS
R02A X01	FLURBIPROFEN
R02A X02	IBUPROFEN
R02A X03	BENZYDAMINE
R03	ANTI-ASTHMATICS
R03A	"ADRENERGICS, INHALANTS"
R03A A	ALPHA- AND BETA-ADRENORECEPTOR AGONISTS
R03A A01	EPINEPHRINE
R03A B	NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS
R03A B02	ISOPRENALINE
R03A B03	ORCIPRENALINE
R03A C	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS
R03A C01	SALBUTAMOL - OLD CODE
R03A C02	SALBUTAMOL
R03A C03	TERBUTALINE
R03A C04	FENOTEROL
R03A C05	RIMITEROL
R03A C06	HEXOPRENALINE
R03A C07	ISOETARINE
R03A C08	PIRBUTEROL
R03A C09	TRETOQUINOL
R03A C10	CARBUTEROL
R03A C11	TULOBUTEROL
R03A C12	SALMETEROL
R03A C13	FORMOTEROL
R03A C14	CLENBUTEROL
R03A C15	REPROTEROL
R03A C16	PROCATEROL
R03A C17	BITOLTEROL
R03A C18	INDACATEROL
R03A C19	OLODATEROL
R03A H	COMBINATIONS OF ADRENERGICS
R03A K	"ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCLUDING ANTICHOLINERGICS"
R03A K01	EPINEPHRINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03A K02	ISOPRENALINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03A K03	FENOTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES - OLD CODE
R03A K04	SALBUTAMOL AND SODIUM CROMOGLICATE
R03A K05	REPROTEROL AND SODIUM CROMOGLICATE
R03A K06	SALMETEROL AND FLUTICASONE
R03A K07	FORMOTEROL  AND BUDESONIDE
R03A K08	FORMOTEROL AND BECLOMETASONE
R03A K09	FORMOTEROL AND MOMETASONE
R03A K10	VILANTEROL AND FLUTICASONE FUROATE
R03A K11	FORMOTEROL AND FLUTICASONE
R03A K12	SALMETEROL AND BUDESONIDE
R03A K13	SALBUTAMOL AND BECLOMETASONE
R03A L	ADRENERGICS IN COMBINATIONS WITH ANTICHOLINERGICS INCLUDING TRIPLE COMBINATIONS WITH CORTICOSTEROIDS
R03A L01	FENOTEROL AND IPRATROPIUM BROMIDE
R03A L02	SALBUTAMOL AND IPRATROPIUM BROMIDE
R03A L03	VILANTEROL AND UMECLIDINIUM BROMIDE
R03A L04	INDACATEROL AND GLYCOPYRRONIUM BROMIDE
R03A L05	FORMOTEROL AND ACLIDINIUM BROMIDE
R03A L06	OLODATEROL AND TIOTROPIUM BROMIDE
R03A L07	FORMOTEROL AND GLYCOPYRRONIUM BROMIDE
R03A L08	"VILANTEROL, UMECLIDINIUM BROMIDE AND FLUTICASONE FUROATE"
R03A L09	"FORMOTEROL, GLYCOPYRRONIUM BROMIDE AND BECLOMETASONE"
R03B	"OTHER ANTI-ASTHMATICS, INHALANTS"
R03B A	GLUCOCORTICOIDS
R03B A01	BECLOMETASONE
R03B A02	BUDESONIDE
R03B A03	FLUNISOLIDE
R03B A04	BETAMETHASONE
R03B A05	FLUTICASONE
R03B A06	TRIAMCINOLONE
R03B A07	MOMETASONE
R03B A08	CICLESONIDE
R03B A09	FLUTICASONE FUROATE
R03B B	ANTICHOLINERGICS
R03B B01	IPRATROPIUM BROMIDE
R03B B02	OXITROPIUM BROMIDE
R03B B03	STRAMONI PREPARATIONS
R03B B04	TIOTROPIUM
R03B B05	ACLIDINIUM BROMIDE
R03B B06	GLYCOPYRRONIUM BROMIDE
R03B B07	UMECLIDINIUM BROMIDE
R03B B54	"TIOTROPIUM BROMIDE, COMBINATIONS"
R03B C	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"
R03B C01	CROMOGLICIC ACID
R03B C03	NEDOCROMIL
R03B X	"OTHER ANTI-ASTHMATICS, INHALANTS"
R03B X01	FENSPIRIDE
R03C	ADRENERGICS FOR SYSTEMIC USE
R03C A	ALPHA- AND BETA-ADRENORECEPTOR AGONISTS
R03C A01	EPINEPHRINE
R03C A02	EPHEDRINE - OLD CODE
R03C B	NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS
R03C B01	ISOPRENALINE
R03C B02	METHOXYPHENAMINE
R03C B03	ORCIPRENALINE
R03C B51	"ISOPRENALINE, COMBINATIONS"
R03C B53	"ORCIPRENALINE, COMBINATIONS"
R03C C	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS
R03C C02	SALBUTAMOL
R03C C03	TERBUTALINE
R03C C04	FENOTEROL
R03C C05	HEXOPRENALINE
R03C C06	ISOETARINE
R03C C07	PIRBUTEROL
R03C C08	PROCATEROL
R03C C09	TRETOQUINOL
R03C C10	CARBUTEROL
R03C C11	TULOBUTEROL
R03C C12	BAMBUTEROL
R03C C13	CLENBUTEROL
R03C C14	REPROTEROL
R03C C53	"TERBUTALINE, COMBINATIONS"
R03C K	ADRENERGICS AND OTHER ANTI-ASTHMATICS
R03D	OTHER ANTI-ASTHMATICS FOR SYSTEMIC USE
R03D A	XANTHINES
R03D A01	DIPROPHYLLINE
R03D A02	CHOLINE THEOPHYLLINATE
R03D A03	PROXYPHYLLINE
R03D A04	THEOPHYLLINE
R03D A05	AMINOPHYLLINE
R03D A06	ETAMIPHYLLINE
R03D A07	THEOBROMINE
R03D A08	BAMIFYLLINE
R03D A09	ACEFYLLINE PIPERAZINE
R03D A10	BUFYLLINE
R03D A11	DOXOFYLLINE
R03D A12	MEPYRAMINE THEOPHYLLINACETATE
R03D A20	COMBINATIONS OF XANTHINES
R03D A51	"DIPROPHYLLINE, COMBINATIONS"
R03D A54	"THEOPHYLLINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
R03D A55	"AMINOPHYLLINE, COMBINATIONS"
R03D A57	"THEOBROMINE, COMBINATIONS"
R03D A74	"THEOPHYLLINE, COMBINATIONS WITH PSYCHOLEPTICS"
R03D B	XANTHINES AND ADRENERGICS
R03D B01	DIPROPHYLLINE AND ADRENERGICS
R03D B02	CHOLINE THEOPHYLLINATE AND ADRENERGICS
R03D B03	PROXYPHYLLINE AND ADRENERGICS
R03D B04	THEOPHYLLINE AND ADRENERGICS
R03D B05	AMINOPHYLLINE AND ADRENERGICS
R03D B06	ETAMIPHYLLINE AND ADRENERGICS
R03D C	LEUKOTRIENE RECEPTOR ANTAGONISTS
R03D C01	ZAFIRLUKAST
R03D C02	PRANLUKAST
R03D C03	MONTELUKAST
R03D C04	IBUDILAST
R03D C53	"MONTELUKAST, COMBINATIONS"
R03D X	OTHER ANTI-ASTHMATICS FOR SYSTEMIC USE
R03D X01	AMLEXANOX
R03D X02	EPROZINOL
R03D X03	FENSPIRIDE
R03D X04	IBUDILAST - OLD CODE
R03D X05	OMALIZUMAB
R03D X06	SERATRODAST
R03D X07	ROFLUMILAST
R03D X08	RESLIZUMAB
R03D X09	MEPOLIZUMAB
R03D X10	BENRALIZUMAB
R05	COUGH AND COLD PREPARATIONS
R05C	"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
R05C A	EXPECTORANTS
R05C A01	TYLOXAPOL
R05C A02	POTASSIUM IODIDE
R05C A03	GUAIFENESIN
R05C A04	IPECACUANHA
R05C A05	ALTHEA ROOT
R05C A06	SENEGA
R05C A07	ANTIMONY PENTASULFIDE
R05C A08	CREOSOTE
R05C A09	GUAIACOLSULFONATE
R05C A10	COMBINATIONS
R05C A11	LEVOVERBENONE
R05C A12	HEDERAE HELICIS FOLIUM
R05C A13	CINEOLE
R05C B	MUCOLYTICS
R05C B01	ACETYLCYSTEINE
R05C B02	BROMHEXINE
R05C B03	CARBOCISTEINE
R05C B04	EPRAZINONE
R05C B05	MESNA
R05C B06	AMBROXOL
R05C B07	SOBREROL
R05C B08	DOMIODOL
R05C B09	LETOSTEINE
R05C B10	COMBINATIONS
R05C B11	STEPRONIN
R05C B12	TIOPRONIN - OLD CODE
R05C B13	DORNASE ALFA (DESOXYRIBONUCLEASE)
R05C B14	NELTENEXINE
R05C B15	ERDOSTEINE
R05C B16	MANNITOL
R05D	"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
R05D A	OPIUM ALKALOIDS AND DERIVATIVES
R05D A01	ETHYLMORPHINE
R05D A03	HYDROCODONE
R05D A04	CODEINE
R05D A05	OPIUM ALKALOIDS WITH MORPHINE
R05D A06	NORMETHADONE
R05D A07	NOSCAPINE
R05D A08	PHOLCODINE
R05D A09	DEXTROMETHORPHAN
R05D A10	THEBACON
R05D A11	DIMEMORFAN
R05D A12	ACETYLDIHYDROCODEINE
R05D A20	COMBINATIONS
R05D B	OTHER COUGH SUPPRESSANTS
R05D B01	BENZONATATE
R05D B02	BENPROPERINE
R05D B03	CLOBUTINOL
R05D B04	ISOAMINILE
R05D B05	PENTOXYVERINE
R05D B07	OXOLAMINE
R05D B09	OXELADIN
R05D B10	CLOFEDANOL
R05D B11	PIPAZETATE
R05D B12	BIBENZONIUM BROMIDE
R05D B13	BUTAMIRATE
R05D B14	FEDRILATE
R05D B15	ZIPEPROL
